pair_id	language	target_number	continuation	good_prefix_type	good_prefix	bad_prefix_type	bad_prefix	good_sentence	bad_sentence	source_idx	has_attractor	distance	subject_lemma
eng_0006	eng	SG	troubles modern critics and directors.	SG	Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's story of the taming of a woman's independent spirit by a man sometimes	PL	Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's stories of the taming of a woman's independent spirit by a man sometimes	Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's story of the taming of a woman's independent spirit by a man sometimes troubles modern critics and directors.	Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's stories of the taming of a woman's independent spirit by a man sometimes troubles modern critics and directors.	6	1	14	story
eng_0006	eng	PL	trouble modern critics and directors.	PL	Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's stories of the taming of a woman's independent spirit by a man sometimes	SG	Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's story of the taming of a woman's independent spirit by a man sometimes	Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's stories of the taming of a woman's independent spirit by a man sometimes trouble modern critics and directors.	Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's story of the taming of a woman's independent spirit by a man sometimes trouble modern critics and directors.	6	1	14	story
eng_0007	eng	PL	prevent you from seeing things in any perspective whatsoever.	PL	The feelings of being swept along and of uncertainty as regards the future	SG	The feeling of being swept along and of uncertainty as regards the future	The feelings of being swept along and of uncertainty as regards the future prevent you from seeing things in any perspective whatsoever.	The feeling of being swept along and of uncertainty as regards the future prevent you from seeing things in any perspective whatsoever.	7	1	12	feeling
eng_0007	eng	SG	prevents you from seeing things in any perspective whatsoever.	SG	The feeling of being swept along and of uncertainty as regards the future	PL	The feelings of being swept along and of uncertainty as regards the future	The feeling of being swept along and of uncertainty as regards the future prevents you from seeing things in any perspective whatsoever.	The feelings of being swept along and of uncertainty as regards the future prevents you from seeing things in any perspective whatsoever.	7	1	12	feeling
eng_0009	eng	PL	fade into the background.	PL	Your love life is full, and any dissatisfactions with career and money matters	SG	Your love life is full, and any dissatisfaction with career and money matters	Your love life is full, and any dissatisfactions with career and money matters fade into the background.	Your love life is full, and any dissatisfaction with career and money matters fade into the background.	9	1	6	dissatisfaction
eng_0009	eng	SG	fades into the background.	SG	Your love life is full, and any dissatisfaction with career and money matters	PL	Your love life is full, and any dissatisfactions with career and money matters	Your love life is full, and any dissatisfaction with career and money matters fades into the background.	Your love life is full, and any dissatisfactions with career and money matters fades into the background.	9	1	6	dissatisfaction
eng_0012	eng	PL	persist, so that a 25% deceleration, to a 7-8% annual rate, is perceived as somehow heralding the end of the modern world's greatest development story.	PL	Yet superficial fixations on China's headline GDP growth	SG	Yet a superficial fixation on China's headline GDP growth	Yet superficial fixations on China's headline GDP growth persist, so that a 25% deceleration, to a 7-8% annual rate, is perceived as somehow heralding the end of the modern world's greatest development story.	Yet a superficial fixation on China's headline GDP growth persist, so that a 25% deceleration, to a 7-8% annual rate, is perceived as somehow heralding the end of the modern world's greatest development story.	12	1	7	fixation
eng_0012	eng	SG	persists, so that a 25% deceleration, to a 7-8% annual rate, is perceived as somehow heralding the end of the modern world's greatest development story.	SG	Yet a superficial fixation on China's headline GDP growth	PL	Yet superficial fixations on China's headline GDP growth	Yet a superficial fixation on China's headline GDP growth persists, so that a 25% deceleration, to a 7-8% annual rate, is perceived as somehow heralding the end of the modern world's greatest development story.	Yet superficial fixations on China's headline GDP growth persists, so that a 25% deceleration, to a 7-8% annual rate, is perceived as somehow heralding the end of the modern world's greatest development story.	12	1	7	fixation
eng_0013	eng	PL	precede x, as x is in T.	PL	Then all elements of S strictly	SG	Then every element of S strictly	Then all elements of S strictly precede x, as x is in T.	Then every element of S strictly precede x, as x is in T.	13	1	4	element
eng_0013	eng	SG	precedes x, as x is in T.	SG	Then every element of S strictly	PL	Then all elements of S strictly	Then every element of S strictly precedes x, as x is in T.	Then all elements of S strictly precedes x, as x is in T.	13	1	4	element
eng_0016	eng	PL	determine the design of the data access page.	PL	The default views – the views in which the object is open when you carry out the Save As command –	SG	The default view – the view in which the object is open when you carry out the Save As command –	The default views – the views in which the object is open when you carry out the Save As command – determine the design of the data access page.	The default view – the view in which the object is open when you carry out the Save As command – determine the design of the data access page.	16	1	19	view
eng_0016	eng	SG	determines the design of the data access page.	SG	The default view – the view in which the object is open when you carry out the Save As command –	PL	The default views – the views in which the object is open when you carry out the Save As command –	The default view – the view in which the object is open when you carry out the Save As command – determines the design of the data access page.	The default views – the views in which the object is open when you carry out the Save As command – determines the design of the data access page.	16	1	19	view
eng_0017	eng	PL	signal a beginning of hibernation.	PL	If the snake is not pregnant or shedding, and its enclosure is properly equipped, losses of appetite probably	SG	If the snake is not pregnant or shedding, and its enclosure is properly equipped, a loss of appetite probably	If the snake is not pregnant or shedding, and its enclosure is properly equipped, losses of appetite probably signal a beginning of hibernation.	If the snake is not pregnant or shedding, and its enclosure is properly equipped, a loss of appetite probably signal a beginning of hibernation.	17	1	4	loss
eng_0017	eng	SG	signals a beginning of hibernation.	SG	If the snake is not pregnant or shedding, and its enclosure is properly equipped, a loss of appetite probably	PL	If the snake is not pregnant or shedding, and its enclosure is properly equipped, losses of appetite probably	If the snake is not pregnant or shedding, and its enclosure is properly equipped, a loss of appetite probably signals a beginning of hibernation.	If the snake is not pregnant or shedding, and its enclosure is properly equipped, losses of appetite probably signals a beginning of hibernation.	17	1	4	loss
eng_0018	eng	SG	precedes x, as x is in T.	SG	Also, every element of S strictly	PL	Also, all elements of S strictly	Also, every element of S strictly precedes x, as x is in T.	Also, all elements of S strictly precedes x, as x is in T.	18	1	4	element
eng_0018	eng	PL	precede x, as x is in T.	PL	Also, all elements of S strictly	SG	Also, every element of S strictly	Also, all elements of S strictly precede x, as x is in T.	Also, every element of S strictly precede x, as x is in T.	18	1	4	element
eng_0019	eng	PL	hoist him by his own petard.	PL	The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so these sorts of cheap shots just	SG	The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so this sort of cheap shot just	The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so these sorts of cheap shots just hoist him by his own petard.	The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so this sort of cheap shot just hoist him by his own petard.	19	1	5	sort
eng_0019	eng	SG	hoists him by his own petard.	SG	The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so this sort of cheap shot just	PL	The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so these sorts of cheap shots just	The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so this sort of cheap shot just hoists him by his own petard.	The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so these sorts of cheap shots just hoists him by his own petard.	19	1	5	sort
eng_0020	eng	PL	envisage the convergence of living conditions towards the highest common denominator.	PL	Our projects for a Europe that aims to satisfy social needs	SG	Our project for a Europe that aims to satisfy social needs	Our projects for a Europe that aims to satisfy social needs envisage the convergence of living conditions towards the highest common denominator.	Our project for a Europe that aims to satisfy social needs envisage the convergence of living conditions towards the highest common denominator.	20	1	10	project
eng_0020	eng	SG	envisages the convergence of living conditions towards the highest common denominator.	SG	Our project for a Europe that aims to satisfy social needs	PL	Our projects for a Europe that aims to satisfy social needs	Our project for a Europe that aims to satisfy social needs envisages the convergence of living conditions towards the highest common denominator.	Our projects for a Europe that aims to satisfy social needs envisages the convergence of living conditions towards the highest common denominator.	20	1	10	project
eng_0022	eng	PL	commit just about every sin an online marketer could commit, and make up a few new ones besides.	PL	Let me join the chorus of annoyance over Google's new toolbars, which, as noted in the linked article,	SG	Let me join the chorus of annoyance over Google's new toolbar, which, as noted in the linked article,	Let me join the chorus of annoyance over Google's new toolbars, which, as noted in the linked article, commit just about every sin an online marketer could commit, and make up a few new ones besides.	Let me join the chorus of annoyance over Google's new toolbar, which, as noted in the linked article, commit just about every sin an online marketer could commit, and make up a few new ones besides.	22	1	9	toolbar
eng_0022	eng	SG	commits just about every sin an online marketer could commit, and makes up a few new ones besides.	SG	Let me join the chorus of annoyance over Google's new toolbar, which, as noted in the linked article,	PL	Let me join the chorus of annoyance over Google's new toolbars, which, as noted in the linked article,	Let me join the chorus of annoyance over Google's new toolbar, which, as noted in the linked article, commits just about every sin an online marketer could commit, and makes up a few new ones besides.	Let me join the chorus of annoyance over Google's new toolbars, which, as noted in the linked article, commits just about every sin an online marketer could commit, and makes up a few new ones besides.	22	1	9	toolbar
eng_0023	eng	PL	crystallize the issues, and we will try to talk to as many of you as possible before the meeting to go through them.	PL	In the next week or so, we'll be sending around discussion papers which we hope	SG	In the next week or so, we'll be sending around a discussion paper which we hope	In the next week or so, we'll be sending around discussion papers which we hope crystallize the issues, and we will try to talk to as many of you as possible before the meeting to go through them.	In the next week or so, we'll be sending around a discussion paper which we hope crystallize the issues, and we will try to talk to as many of you as possible before the meeting to go through them.	23	1	3	which
eng_0023	eng	SG	crystallizes the issues, and we will try to talk to as many of you as possible before the meeting to go through it.	SG	In the next week or so, we'll be sending around a discussion paper which we hope	PL	In the next week or so, we'll be sending around discussion papers which we hope	In the next week or so, we'll be sending around a discussion paper which we hope crystallizes the issues, and we will try to talk to as many of you as possible before the meeting to go through it.	In the next week or so, we'll be sending around discussion papers which we hope crystallizes the issues, and we will try to talk to as many of you as possible before the meeting to go through it.	23	1	3	which
eng_0024	eng	PL	aim to raise the female employment rate to 62% by 2017, through the provision of affordable, high-quality childcare facilities and expanded paid parental leave, among other measures.	PL	Indeed, its three-year plans for economic innovation, announced in February,	SG	Indeed, its three-year plan for economic innovation, announced in February,	Indeed, its three-year plans for economic innovation, announced in February, aim to raise the female employment rate to 62% by 2017, through the provision of affordable, high-quality childcare facilities and expanded paid parental leave, among other measures.	Indeed, its three-year plan for economic innovation, announced in February, aim to raise the female employment rate to 62% by 2017, through the provision of affordable, high-quality childcare facilities and expanded paid parental leave, among other measures.	24	1	9	plan
eng_0024	eng	SG	aims to raise the female employment rate to 62% by 2017, through the provision of affordable, high-quality childcare facilities and expanded paid parental leave, among other measures.	SG	Indeed, its three-year plan for economic innovation, announced in February,	PL	Indeed, its three-year plans for economic innovation, announced in February,	Indeed, its three-year plan for economic innovation, announced in February, aims to raise the female employment rate to 62% by 2017, through the provision of affordable, high-quality childcare facilities and expanded paid parental leave, among other measures.	Indeed, its three-year plans for economic innovation, announced in February, aims to raise the female employment rate to 62% by 2017, through the provision of affordable, high-quality childcare facilities and expanded paid parental leave, among other measures.	24	1	9	plan
eng_0027	eng	SG	produces a mushroom - it bursts through with such ferocity that it can break asphalt.	SG	The mycelium, in the right conditions,	PL	The mycelia, in the right conditions,	The mycelium, in the right conditions, produces a mushroom - it bursts through with such ferocity that it can break asphalt.	The mycelia, in the right conditions, produces a mushroom - it bursts through with such ferocity that it can break asphalt.	27	1	7	mycelium
eng_0027	eng	PL	produce mushrooms - they burst through with such ferocity that they can break asphalt.	PL	The mycelia, in the right conditions,	SG	The mycelium, in the right conditions,	The mycelia, in the right conditions, produce mushrooms - they burst through with such ferocity that they can break asphalt.	The mycelium, in the right conditions, produce mushrooms - they burst through with such ferocity that they can break asphalt.	27	1	7	mycelium
eng_0028	eng	PL	reveal that the play had been acted by three different troupes.	PL	The title pages of the 1594 edition of Titus Andronicus	SG	The title page of the 1594 edition of Titus Andronicus	The title pages of the 1594 edition of Titus Andronicus reveal that the play had been acted by three different troupes.	The title page of the 1594 edition of Titus Andronicus reveal that the play had been acted by three different troupes.	28	1	8	page
eng_0028	eng	SG	reveals that the play had been acted by three different troupes.	SG	The title page of the 1594 edition of Titus Andronicus	PL	The title pages of the 1594 edition of Titus Andronicus	The title page of the 1594 edition of Titus Andronicus reveals that the play had been acted by three different troupes.	The title pages of the 1594 edition of Titus Andronicus reveals that the play had been acted by three different troupes.	28	1	8	page
eng_0029	eng	PL	clash with everything else in the shot.	PL	In the photo on the couch, the pillows she is resting on	SG	In the photo on the couch, the pillow she is resting on	In the photo on the couch, the pillows she is resting on clash with everything else in the shot.	In the photo on the couch, the pillow she is resting on clash with everything else in the shot.	29	1	5	pillow
eng_0029	eng	SG	clashes with everything else in the shot.	SG	In the photo on the couch, the pillow she is resting on	PL	In the photo on the couch, the pillows she is resting on	In the photo on the couch, the pillow she is resting on clashes with everything else in the shot.	In the photo on the couch, the pillows she is resting on clashes with everything else in the shot.	29	1	5	pillow
eng_0031	eng	PL	aim to reduce the environmental impacts of products across the whole of their life cycle.	PL	(11) The approaches set out in the Green Paper on Integrated Product Policy, which are major innovative elements of the Sixth Community Environment Action Programme,	SG	(11) The approach set out in the Green Paper on Integrated Product Policy, which is a major innovative element of the Sixth Community Environment Action Programme,	(11) The approaches set out in the Green Paper on Integrated Product Policy, which are major innovative elements of the Sixth Community Environment Action Programme, aim to reduce the environmental impacts of products across the whole of their life cycle.	(11) The approach set out in the Green Paper on Integrated Product Policy, which is a major innovative element of the Sixth Community Environment Action Programme, aim to reduce the environmental impacts of products across the whole of their life cycle.	31	1	26	approach
eng_0031	eng	SG	aims to reduce the environmental impacts of products across the whole of their life cycle.	SG	(11) The approach set out in the Green Paper on Integrated Product Policy, which is a major innovative element of the Sixth Community Environment Action Programme,	PL	(11) The approaches set out in the Green Paper on Integrated Product Policy, which are major innovative elements of the Sixth Community Environment Action Programme,	(11) The approach set out in the Green Paper on Integrated Product Policy, which is a major innovative element of the Sixth Community Environment Action Programme, aims to reduce the environmental impacts of products across the whole of their life cycle.	(11) The approaches set out in the Green Paper on Integrated Product Policy, which are major innovative elements of the Sixth Community Environment Action Programme, aims to reduce the environmental impacts of products across the whole of their life cycle.	31	1	26	approach
eng_0033	eng	PL	"state that the purpose of the Nasser seizure of power was ""to solve the pressing social and political problems which made the revolution necessary."""	PL	Of course the papers written by Mr Eichelberger and his Egyptian collaborators	SG	Of course the paper written by Mr Eichelberger and his Egyptian collaborators	"Of course the papers written by Mr Eichelberger and his Egyptian collaborators state that the purpose of the Nasser seizure of power was ""to solve the pressing social and political problems which made the revolution necessary."""	"Of course the paper written by Mr Eichelberger and his Egyptian collaborators state that the purpose of the Nasser seizure of power was ""to solve the pressing social and political problems which made the revolution necessary."""	33	1	9	paper
eng_0033	eng	SG	"states that the purpose of the Nasser seizure of power was ""to solve the pressing social and political problems which made the revolution necessary."""	SG	Of course the paper written by Mr Eichelberger and his Egyptian collaborators	PL	Of course the papers written by Mr Eichelberger and his Egyptian collaborators	"Of course the paper written by Mr Eichelberger and his Egyptian collaborators states that the purpose of the Nasser seizure of power was ""to solve the pressing social and political problems which made the revolution necessary."""	"Of course the papers written by Mr Eichelberger and his Egyptian collaborators states that the purpose of the Nasser seizure of power was ""to solve the pressing social and political problems which made the revolution necessary."""	33	1	9	paper
eng_0037	eng	PL	involve precursors of modern information technology.	PL	Other themes of the Skylark novels	SG	Another theme of the Skylark novels	Other themes of the Skylark novels involve precursors of modern information technology.	Another theme of the Skylark novels involve precursors of modern information technology.	37	1	5	theme
eng_0037	eng	SG	involves precursors of modern information technology.	SG	Another theme of the Skylark novels	PL	Other themes of the Skylark novels	Another theme of the Skylark novels involves precursors of modern information technology.	Other themes of the Skylark novels involves precursors of modern information technology.	37	1	5	theme
eng_0042	eng	SG	"reports, ""Due to its position astride the Persian Gulf, Iran has constantly been a threat to the Gulf."""	SG	A MILNET brief issued in February 2005	PL	MILNET briefs issued in February 2005	"A MILNET brief issued in February 2005 reports, ""Due to its position astride the Persian Gulf, Iran has constantly been a threat to the Gulf."""	"MILNET briefs issued in February 2005 reports, ""Due to its position astride the Persian Gulf, Iran has constantly been a threat to the Gulf."""	42	1	5	brief
eng_0042	eng	PL	"report, ""Due to its position astride the Persian Gulf, Iran has constantly been a threat to the Gulf."""	PL	MILNET briefs issued in February 2005	SG	A MILNET brief issued in February 2005	"MILNET briefs issued in February 2005 report, ""Due to its position astride the Persian Gulf, Iran has constantly been a threat to the Gulf."""	"A MILNET brief issued in February 2005 report, ""Due to its position astride the Persian Gulf, Iran has constantly been a threat to the Gulf."""	42	1	5	brief
eng_0045	eng	SG	entails all kinds of risks, known and unknown, for employees and the social environment.	SG	The ever-increasing volume of goods passing through Europe	PL	The ever-increasing volumes of goods passing through Europe	The ever-increasing volume of goods passing through Europe entails all kinds of risks, known and unknown, for employees and the social environment.	The ever-increasing volumes of goods passing through Europe entails all kinds of risks, known and unknown, for employees and the social environment.	46	1	6	volume
eng_0045	eng	PL	entail all kinds of risks, known and unknown, for employees and the social environment.	PL	The ever-increasing volumes of goods passing through Europe	SG	The ever-increasing volume of goods passing through Europe	The ever-increasing volumes of goods passing through Europe entail all kinds of risks, known and unknown, for employees and the social environment.	The ever-increasing volume of goods passing through Europe entail all kinds of risks, known and unknown, for employees and the social environment.	46	1	6	volume
eng_0046	eng	PL	demonstrate.	PL	The media routinely obscures the lines between terrorism and legitimate resistance, as the recent articles by Daniel Okrent of The New York Times	SG	The media routinely obscures the lines between terrorism and legitimate resistance, as the recent article by Daniel Okrent of The New York Times	The media routinely obscures the lines between terrorism and legitimate resistance, as the recent articles by Daniel Okrent of The New York Times demonstrate.	The media routinely obscures the lines between terrorism and legitimate resistance, as the recent article by Daniel Okrent of The New York Times demonstrate.	47	1	9	article
eng_0046	eng	SG	demonstrates.	SG	The media routinely obscures the lines between terrorism and legitimate resistance, as the recent article by Daniel Okrent of The New York Times	PL	The media routinely obscures the lines between terrorism and legitimate resistance, as the recent articles by Daniel Okrent of The New York Times	The media routinely obscures the lines between terrorism and legitimate resistance, as the recent article by Daniel Okrent of The New York Times demonstrates.	The media routinely obscures the lines between terrorism and legitimate resistance, as the recent articles by Daniel Okrent of The New York Times demonstrates.	47	1	9	article
eng_0047	eng	PL	reinforce the increase in inequalities of every shape and form.	PL	Mr President, the priorities given to financial and monetary criteria	SG	Mr President, the priority given to financial and monetary criteria	Mr President, the priorities given to financial and monetary criteria reinforce the increase in inequalities of every shape and form.	Mr President, the priority given to financial and monetary criteria reinforce the increase in inequalities of every shape and form.	48	0	7	priority
eng_0047	eng	SG	reinforces the increase in inequalities of every shape and form.	SG	Mr President, the priority given to financial and monetary criteria	PL	Mr President, the priorities given to financial and monetary criteria	Mr President, the priority given to financial and monetary criteria reinforces the increase in inequalities of every shape and form.	Mr President, the priorities given to financial and monetary criteria reinforces the increase in inequalities of every shape and form.	48	0	7	priority
eng_0051	eng	PL	supplement the debate which we held in October on rail transport.	PL	Mr President, I would once again like to congratulate Mr Koch on his magnificent work on these other reports, which in a way	SG	Mr President, I would once again like to congratulate Mr Koch on his magnificent work on this other report, which in a way	Mr President, I would once again like to congratulate Mr Koch on his magnificent work on these other reports, which in a way supplement the debate which we held in October on rail transport.	Mr President, I would once again like to congratulate Mr Koch on his magnificent work on this other report, which in a way supplement the debate which we held in October on rail transport.	52	1	4	which
eng_0051	eng	SG	supplements the debate which we held in October on rail transport.	SG	Mr President, I would once again like to congratulate Mr Koch on his magnificent work on this other report, which in a way	PL	Mr President, I would once again like to congratulate Mr Koch on his magnificent work on these other reports, which in a way	Mr President, I would once again like to congratulate Mr Koch on his magnificent work on this other report, which in a way supplements the debate which we held in October on rail transport.	Mr President, I would once again like to congratulate Mr Koch on his magnificent work on these other reports, which in a way supplements the debate which we held in October on rail transport.	52	1	4	which
eng_0052	eng	PL	preoccupy Karel.	PL	As the hysteria of the 2016 Presidential election intensifies, more troubling threats than bullshit	SG	As the hysteria of the 2016 Presidential election intensifies, a more troubling threat than bullshit	As the hysteria of the 2016 Presidential election intensifies, more troubling threats than bullshit preoccupy Karel.	As the hysteria of the 2016 Presidential election intensifies, a more troubling threat than bullshit preoccupy Karel.	53	0	3	threat
eng_0052	eng	SG	preoccupies Karel.	SG	As the hysteria of the 2016 Presidential election intensifies, a more troubling threat than bullshit	PL	As the hysteria of the 2016 Presidential election intensifies, more troubling threats than bullshit	As the hysteria of the 2016 Presidential election intensifies, a more troubling threat than bullshit preoccupies Karel.	As the hysteria of the 2016 Presidential election intensifies, more troubling threats than bullshit preoccupies Karel.	53	0	3	threat
eng_0053	eng	PL	demonstrate you were in mortal danger and didn't absent yourself from it.	PL	And, a piece of shrapnel in the forearm that caused only a minor wound would have killed had it hit an eye and gone into the brain; the pieces of shrapnel being in your body	SG	And, a piece of shrapnel in the forearm that caused only a minor wound would have killed had it hit an eye and gone into the brain; the shrapnel being in your body	And, a piece of shrapnel in the forearm that caused only a minor wound would have killed had it hit an eye and gone into the brain; the pieces of shrapnel being in your body demonstrate you were in mortal danger and didn't absent yourself from it.	And, a piece of shrapnel in the forearm that caused only a minor wound would have killed had it hit an eye and gone into the brain; the shrapnel being in your body demonstrate you were in mortal danger and didn't absent yourself from it.	54	0	5	shrapnel
eng_0053	eng	SG	demonstrates you were in mortal danger and didn't absent yourself from it.	SG	And, a piece of shrapnel in the forearm that caused only a minor wound would have killed had it hit an eye and gone into the brain; the shrapnel being in your body	PL	And, a piece of shrapnel in the forearm that caused only a minor wound would have killed had it hit an eye and gone into the brain; the pieces of shrapnel being in your body	And, a piece of shrapnel in the forearm that caused only a minor wound would have killed had it hit an eye and gone into the brain; the shrapnel being in your body demonstrates you were in mortal danger and didn't absent yourself from it.	And, a piece of shrapnel in the forearm that caused only a minor wound would have killed had it hit an eye and gone into the brain; the pieces of shrapnel being in your body demonstrates you were in mortal danger and didn't absent yourself from it.	54	0	5	shrapnel
eng_0055	eng	PL	propel the characters in Balzac's novels.	PL	Nearly infinite reserves of energy	SG	A nearly infinite reserve of energy	Nearly infinite reserves of energy propel the characters in Balzac's novels.	A nearly infinite reserve of energy propel the characters in Balzac's novels.	56	0	3	reserve
eng_0055	eng	SG	propels the characters in Balzac's novels.	SG	A nearly infinite reserve of energy	PL	Nearly infinite reserves of energy	A nearly infinite reserve of energy propels the characters in Balzac's novels.	Nearly infinite reserves of energy propels the characters in Balzac's novels.	56	0	3	reserve
eng_0057	eng	SG	owes much to the rapid growth of its well-educated labor force.	SG	South Korea's success over the last five decades	PL	South Korea's successes over the last five decades	South Korea's success over the last five decades owes much to the rapid growth of its well-educated labor force.	South Korea's successes over the last five decades owes much to the rapid growth of its well-educated labor force.	58	0	6	success
eng_0057	eng	PL	owe much to the rapid growth of its well-educated labor force.	PL	South Korea's successes over the last five decades	SG	South Korea's success over the last five decades	South Korea's successes over the last five decades owe much to the rapid growth of its well-educated labor force.	South Korea's success over the last five decades owe much to the rapid growth of its well-educated labor force.	58	0	6	success
eng_0058	eng	PL	increase the predictability of the policy, allow for accommodating product development cycles and facilitate long-term planning for interested parties.	PL	The introductions of interim targets	SG	The introduction of interim targets	The introductions of interim targets increase the predictability of the policy, allow for accommodating product development cycles and facilitate long-term planning for interested parties.	The introduction of interim targets increase the predictability of the policy, allow for accommodating product development cycles and facilitate long-term planning for interested parties.	59	0	4	introduction
eng_0058	eng	SG	increases the predictability of the policy, allows for accommodating product development cycles and facilitates long-term planning for interested parties.	SG	The introduction of interim targets	PL	The introductions of interim targets	The introduction of interim targets increases the predictability of the policy, allows for accommodating product development cycles and facilitates long-term planning for interested parties.	The introductions of interim targets increases the predictability of the policy, allows for accommodating product development cycles and facilitates long-term planning for interested parties.	59	0	4	introduction
eng_0059	eng	PL	name him on the cast lists for Every Man In His Humour (1598) and Sejanus His Fall (1603).	PL	The 1616 editions of Ben Jonson's Works	SG	The 1616 edition of Ben Jonson's Works	The 1616 editions of Ben Jonson's Works name him on the cast lists for Every Man In His Humour (1598) and Sejanus His Fall (1603).	The 1616 edition of Ben Jonson's Works name him on the cast lists for Every Man In His Humour (1598) and Sejanus His Fall (1603).	61	0	6	edition
