sen	verb	verb_idx	cop	cop_idx	child	child_idx	child_features	child_upos	head	head_idx	head_features	head_upos	distance	attractors	metadata	swap_head	feature_vals	prefix	wrong_sen	congruent_attractors	incongruent_attractors	num_attractors	num_congruent_attractors	num_incongruent_attractors	has_attractors	only_has_congruent_attractors	only_has_incongruent_attractors	sample_weight	phenomenon	lang	grammatical_feature	ungrammatical_feature	wo	inflect_item	agreement_certainty
"""Balzac's use of repeating characters, moving in and out of the Comédie's books, strengthens the realist representation."	strengthens				use		{'Number': 'Sing', 'lemma': 'use'}	NOUN	strengthens				15	[]	"{'sent_id': 'en_partut-ud-1748', 'text': '""Balzac\'s use of repeating characters, moving in and out of the Comédie\'s books, strengthens the realist representation.', 'treebank': 'UD_English-ParTUT/en_partut-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0005', 'extended_role': 'sg'}"	strengthen	SG -> PL	"""Balzac's use of repeating characters, moving in and out of the Comédie's books,"	"""Balzac's use of repeating characters, moving in and out of the Comédie's books, strengthen the realist representation."	[]	[]	0	0	0	False	False	False	0.0149728536589344	SV-#	eng	SG	PL	SV	verb	+
"""Balzac's uses of repeating characters, moving in and out of the Comédie's books,"" strengthen the realist representation."	strengthens				uses		{'lemma': 'use', 'Number': 'Plur'}	NOUN	strengthen				15	[]	"{'sent_id': 'en_partut-ud-1748', 'text': '""Balzac\'s use of repeating characters, moving in and out of the Comédie\'s books, strengthens the realist representation.', 'treebank': 'UD_English-ParTUT/en_partut-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0005', 'extended_role': 'pl'}"	strengthens	PL -> SG	"""Balzac's uses of repeating characters, moving in and out of the Comédie's books,"""	"""Balzac's uses of repeating characters, moving in and out of the Comédie's books,"" strengthens the realist representation."	[]	[]	0	0	0	False	False	False	0.0149728536589344	SV-#	eng	PL	SG	SV	verb	+
Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's story of the taming of a woman's independent spirit by a man sometimes troubles modern critics and directors.	troubles				story		{'Number': 'Sing', 'lemma': 'story'}	NOUN	troubles				14	[]	"{'sent_id': 'en_partut-ud-1914', 'text': ""Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's story of the taming of a woman's independent spirit by a man sometimes troubles modern critics and directors."", 'treebank': 'UD_English-ParTUT/en_partut-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0006', 'extended_role': 'sg'}"	trouble	SG -> PL	Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's story of the taming of a woman's independent spirit by a man sometimes	Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's story of the taming of a woman's independent spirit by a man sometimes trouble modern critics and directors.	[]	[]	0	0	0	False	False	False	0.0883014446552542	SV-#	eng	SG	PL	SV	verb	+
Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's stories of the taming of a woman's independent spirit by a man sometimes trouble modern critics and directors.	troubles				stories		{'lemma': 'story', 'Number': 'Plur'}	NOUN	trouble				14	[]	"{'sent_id': 'en_partut-ud-1914', 'text': ""Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's story of the taming of a woman's independent spirit by a man sometimes troubles modern critics and directors."", 'treebank': 'UD_English-ParTUT/en_partut-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0006', 'extended_role': 'pl'}"	troubles	PL -> SG	Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's stories of the taming of a woman's independent spirit by a man sometimes	Like The Two Gentlemen of Verona, in which two friends appear to approve of rape, the Shrew's stories of the taming of a woman's independent spirit by a man sometimes troubles modern critics and directors.	[]	[]	0	0	0	False	False	False	0.0883014446552542	SV-#	eng	PL	SG	SV	verb	+
The feeling of being swept along and of uncertainty as regards the future prevents you from seeing things in any perspective whatsoever.	prevents				feeling		{'Number': 'Sing', 'lemma': 'feeling'}	NOUN	prevents				12	[]	{'sent_id': 'en_lines-ud-test-doc3-4597', 'text': 'The feeling of being swept along and of uncertainty as regards the future prevents you from seeing things in any perspective whatsoever.', 'treebank': 'UD_English-LinES/en_lines-ud-test.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0007', 'extended_role': 'sg'}	prevent	SG -> PL	The feeling of being swept along and of uncertainty as regards the future	The feeling of being swept along and of uncertainty as regards the future prevent you from seeing things in any perspective whatsoever.	[]	[]	0	0	0	False	False	False	0.0294338148850847	SV-#	eng	SG	PL	SV	verb	+
The feelings of being swept along and of uncertainty as regards the future prevent you from seeing things in any perspective whatsoever.	prevents				feelings		{'lemma': 'feeling', 'Number': 'Plur'}	NOUN	prevent				12	[]	{'sent_id': 'en_lines-ud-test-doc3-4597', 'text': 'The feeling of being swept along and of uncertainty as regards the future prevents you from seeing things in any perspective whatsoever.', 'treebank': 'UD_English-LinES/en_lines-ud-test.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0007', 'extended_role': 'pl'}	prevents	PL -> SG	The feelings of being swept along and of uncertainty as regards the future	The feelings of being swept along and of uncertainty as regards the future prevents you from seeing things in any perspective whatsoever.	[]	[]	0	0	0	False	False	False	0.0294338148850847	SV-#	eng	PL	SG	SV	verb	+
750,000 - Tons of toxic waste the US military, the world 's biggest polluter, generates around the world each year.	generates				military		{'Number': 'Sing', 'lemma': 'military'}	NOUN	generates				8	[]	"{'sent_id': 'newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0034', 'text': ""750,000 - Tons of toxic waste the US military, the world's biggest polluter, generates around the world each year."", 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0008', 'extended_role': 'sg'}"	generate	SG -> PL	750,000 - Tons of toxic waste the US military, the world 's biggest polluter,	750,000 - Tons of toxic waste the US military, the world 's biggest polluter, generate around the world each year.	[]	[]	0	0	0	False	False	False	0.0220753611638135	SV-#	eng	SG	PL	SV	verb	+
750,000 - Tons of toxic waste the US militaries, the world 's biggest polluters, generate around the world each year.	generates				militaries		{'lemma': 'military', 'Number': 'Plur'}	NOUN	generate				8	[]	"{'sent_id': 'newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0034', 'text': ""750,000 - Tons of toxic waste the US military, the world's biggest polluter, generates around the world each year."", 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0008', 'extended_role': 'pl'}"	generates	PL -> SG	750,000 - Tons of toxic waste the US militaries, the world 's biggest polluters,	750,000 - Tons of toxic waste the US militaries, the world 's biggest polluters, generates around the world each year.	[]	[]	0	0	0	False	False	False	0.0220753611638135	SV-#	eng	PL	SG	SV	verb	+
Your love life is full, and any dissatisfaction with career and money matters fades into the background.	fades				dissatisfaction		{'Number': 'Sing', 'lemma': 'dissatisfaction'}	NOUN	fades				6	[]	{'sent_id': 'newsgroup-groups.google.com_magicworld_04c89d43ff4fd6ea_ENG_20050104_152000-0031', 'text': 'Your love life is full, and any dissatisfaction with career and money matters fades into the background.', 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0009', 'extended_role': 'sg'}	fade	SG -> PL	Your love life is full, and any dissatisfaction with career and money matters	Your love life is full, and any dissatisfaction with career and money matters fade into the background.	[]	[]	0	0	0	False	False	False	0.0160548081191371	SV-#	eng	SG	PL	SV	verb	+
Your love life is full, and any dissatisfactions with career and money matters fade into the background.	fades				dissatisfactions		{'lemma': 'dissatisfaction', 'Number': 'Plur'}	NOUN	fade				6	[]	{'sent_id': 'newsgroup-groups.google.com_magicworld_04c89d43ff4fd6ea_ENG_20050104_152000-0031', 'text': 'Your love life is full, and any dissatisfaction with career and money matters fades into the background.', 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0009', 'extended_role': 'pl'}	fades	PL -> SG	Your love life is full, and any dissatisfactions with career and money matters	Your love life is full, and any dissatisfactions with career and money matters fades into the background.	[]	[]	0	0	0	False	False	False	0.0160548081191371	SV-#	eng	PL	SG	SV	verb	+
Examination of three views of the right foot demonstrates the second through fifth metatarsal head fractures.	demonstrates				Examination		{'Number': 'Sing', 'lemma': 'examination'}	NOUN	demonstrates				8	[]	{'sent_id': 'GENTLE_medical_screw-21', 's_prominence': '2', 's_type': 'decl', 'transition': 'null', 'text': 'Examination of three views of the right foot demonstrates the second through fifth metatarsal head fractures.', 'treebank': 'UD_English-GENTLE/en_gentle-ud-test.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0010', 'extended_role': 'sg'}	demonstrate	SG -> PL	Examination of three views of the right foot	Examination of three views of the right foot demonstrate the second through fifth metatarsal head fractures.	[]	[]	0	0	0	False	False	False	0.0615134737821222	SV-#	eng	SG	PL	SV	verb	+
Examinations of three views of the right foot demonstrate the second through fifth metatarsal head fractures.	demonstrates				Examinations		{'lemma': 'examination', 'Number': 'Plur'}	NOUN	demonstrate				8	[]	{'sent_id': 'GENTLE_medical_screw-21', 's_prominence': '2', 's_type': 'decl', 'transition': 'null', 'text': 'Examination of three views of the right foot demonstrates the second through fifth metatarsal head fractures.', 'treebank': 'UD_English-GENTLE/en_gentle-ud-test.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0010', 'extended_role': 'pl'}	demonstrates	PL -> SG	Examinations of three views of the right foot	Examinations of three views of the right foot demonstrates the second through fifth metatarsal head fractures.	[]	[]	0	0	0	False	False	False	0.0615134737821222	SV-#	eng	PL	SG	SV	verb	+
In this scenario, pieces of option three remain stubbornly impervious to artificial intelligence and continue to be mind-numbingly boring, while option four – engaging in social reciprocity and negotiation – remains limited.	remains				option		{'Number': 'Sing', 'lemma': 'option'}	NOUN	remains				10	[]	{'sent_id': 'en_partut-ud-1449', 'text': 'In this scenario, pieces of option three remain stubbornly impervious to artificial intelligence and continue to be mind-numbingly boring, while option four – engaging in social reciprocity and negotiation – remains limited.', 'treebank': 'UD_English-ParTUT/en_partut-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0011', 'extended_role': 'sg'}	remain	SG -> PL	In this scenario, pieces of option three remain stubbornly impervious to artificial intelligence and continue to be mind-numbingly boring, while option four – engaging in social reciprocity and negotiation –	In this scenario, pieces of option three remain stubbornly impervious to artificial intelligence and continue to be mind-numbingly boring, while option four – engaging in social reciprocity and negotiation – remain limited.	[]	[]	0	0	0	False	False	False	0.0058867629770169	SV-#	eng	SG	PL	SV	verb	+
In this scenario, pieces of option three remain stubbornly impervious to artificial intelligence and continue to be mind-numbingly boring, while options four – engaging in social reciprocity and negotiation – remain limited.	remains				options		{'lemma': 'option', 'Number': 'Plur'}	NOUN	remain				10	[]	{'sent_id': 'en_partut-ud-1449', 'text': 'In this scenario, pieces of option three remain stubbornly impervious to artificial intelligence and continue to be mind-numbingly boring, while option four – engaging in social reciprocity and negotiation – remains limited.', 'treebank': 'UD_English-ParTUT/en_partut-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0011', 'extended_role': 'pl'}	remains	PL -> SG	In this scenario, pieces of option three remain stubbornly impervious to artificial intelligence and continue to be mind-numbingly boring, while options four – engaging in social reciprocity and negotiation –	In this scenario, pieces of option three remain stubbornly impervious to artificial intelligence and continue to be mind-numbingly boring, while options four – engaging in social reciprocity and negotiation – remains limited.	[]	[]	0	0	0	False	False	False	0.0058867629770169	SV-#	eng	PL	SG	SV	verb	+
Yet a superficial fixation on China's headline GDP growth persists, so that a 25% deceleration, to a 7-8% annual rate, is perceived as somehow heralding the end of the modern world's greatest development story.	persists				fixation		{'Number': 'Sing', 'lemma': 'fixation'}	NOUN	persists,				7	[]	"{'sent_id': 'en_partut-ud-1181', 'text': ""Yet a superficial fixation on China's headline GDP growth persists, so that a 25% deceleration, to a 7-8% annual rate, is perceived as somehow heralding the end of the modern world's greatest development story."", 'treebank': 'UD_English-ParTUT/en_partut-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0012', 'extended_role': 'sg'}"	persist,	SG -> PL	Yet a superficial fixation on China's headline GDP growth	Yet a superficial fixation on China's headline GDP growth persist, so that a 25% deceleration, to a 7-8% annual rate, is perceived as somehow heralding the end of the modern world's greatest development story.	[]	[]	0	0	0	False	False	False	0.0117735259540339	SV-#	eng	SG	PL	SV	verb	+
Yet superficial fixations on China's headline GDP growth persist, so that a 25% deceleration, to a 7-8% annual rate, is perceived as somehow heralding the end of the modern world's greatest development story.	persists				fixations		{'lemma': 'fixation', 'Number': 'Plur'}	NOUN	persist,				7	[]	"{'sent_id': 'en_partut-ud-1181', 'text': ""Yet a superficial fixation on China's headline GDP growth persists, so that a 25% deceleration, to a 7-8% annual rate, is perceived as somehow heralding the end of the modern world's greatest development story."", 'treebank': 'UD_English-ParTUT/en_partut-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0012', 'extended_role': 'pl'}"	persists,	PL -> SG	Yet superficial fixations on China's headline GDP growth	Yet superficial fixations on China's headline GDP growth persists, so that a 25% deceleration, to a 7-8% annual rate, is perceived as somehow heralding the end of the modern world's greatest development story.	[]	[]	0	0	0	False	False	False	0.0117735259540339	SV-#	eng	PL	SG	SV	verb	+
Then every element of S strictly precedes x, as x is in T.	precedes				element		{'Number': 'Sing', 'lemma': 'element'}	NOUN	precedes				4	[]	{'sent_id': 'GENTLE_proof_wosets-49', 's_prominence': '3', 's_type': 'decl', 'transition': 'smooth-shift', 'text': 'Then every element of S strictly precedes x, as x is in T.', 'treebank': 'UD_English-GENTLE/en_gentle-ud-test.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0013', 'extended_role': 'sg'}	precede	SG -> PL	Then every element of S strictly	Then every element of S strictly precede x, as x is in T.	[]	[]	0	0	0	False	False	False	0.0016981047049087	SV-#	eng	SG	PL	SV	verb	+
Then all elements of S strictly precede x, as x is in T.	precedes				elements		{'lemma': 'element', 'Number': 'Plur'}	NOUN	precede				4	[]	{'sent_id': 'GENTLE_proof_wosets-49', 's_prominence': '3', 's_type': 'decl', 'transition': 'smooth-shift', 'text': 'Then every element of S strictly precedes x, as x is in T.', 'treebank': 'UD_English-GENTLE/en_gentle-ud-test.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0013', 'extended_role': 'pl'}	precedes	PL -> SG	Then all elements of S strictly	Then all elements of S strictly precedes x, as x is in T.	[]	[]	0	0	0	False	False	False	0.0016981047049087	SV-#	eng	PL	SG	SV	verb	+
"Now, NASA engineers and astronauts are almost giddy with ""go"" fever as the tentative date for the first launch since the Columbia disaster approaches."	approaches				date		{'Number': 'Sing', 'lemma': 'date'}	NOUN	approaches.				9	[]	"{'sent_id': 'newsgroup-groups.google.com_hiddennook_04d8cc994875d454_ENG_20050207_012300-0004', 'text': 'Now, NASA engineers and astronauts are almost giddy with ""go"" fever as the tentative date for the first launch since the Columbia disaster approaches.', 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0014', 'extended_role': 'sg'}"	approach.	SG -> PL	"Now, NASA engineers and astronauts are almost giddy with ""go"" fever as the tentative date for the first launch since the Columbia disaster"	"Now, NASA engineers and astronauts are almost giddy with ""go"" fever as the tentative date for the first launch since the Columbia disaster approach."	[]	[]	0	0	0	False	False	False	0.0176602889310508	SV-#	eng	SG	PL	SV	verb	+
"Now, NASA engineers and astronauts are almost giddy with ""go"" fever as the tentative dates for the first launch since the Columbia disaster approach."	approaches				dates		{'lemma': 'date', 'Number': 'Plur'}	NOUN	approach.				9	[]	"{'sent_id': 'newsgroup-groups.google.com_hiddennook_04d8cc994875d454_ENG_20050207_012300-0004', 'text': 'Now, NASA engineers and astronauts are almost giddy with ""go"" fever as the tentative date for the first launch since the Columbia disaster approaches.', 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0014', 'extended_role': 'pl'}"	approaches.	PL -> SG	"Now, NASA engineers and astronauts are almost giddy with ""go"" fever as the tentative dates for the first launch since the Columbia disaster"	"Now, NASA engineers and astronauts are almost giddy with ""go"" fever as the tentative dates for the first launch since the Columbia disaster approaches."	[]	[]	0	0	0	False	False	False	0.0176602889310508	SV-#	eng	PL	SG	SV	verb	+
Your learning of concepts of all kinds combines with extensive group activity, bringing your mind into a whole new space this year.	combines				learning		{'Number': 'Sing', 'lemma': 'learning'}	NOUN	combines				6	[]	{'sent_id': 'newsgroup-groups.google.com_magicworld_04c89d43ff4fd6ea_ENG_20050104_152000-0023', 'text': 'Your learning of concepts of all kinds combines with extensive group activity, bringing your mind into a whole new space this year.', 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0015', 'extended_role': 'sg'}	combine	SG -> PL	Your learning of concepts of all kinds	Your learning of concepts of all kinds combine with extensive group activity, bringing your mind into a whole new space this year.	[]	[]	0	0	0	False	False	False	0.0559213398019292	SV-#	eng	SG	PL	SV	verb	+
Your learnings of concepts of all kinds combine with extensive group activity, bringing your mind into a whole new space this year.	combines				learnings		{'lemma': 'learning', 'Number': 'Plur'}	NOUN	combine				6	[]	{'sent_id': 'newsgroup-groups.google.com_magicworld_04c89d43ff4fd6ea_ENG_20050104_152000-0023', 'text': 'Your learning of concepts of all kinds combines with extensive group activity, bringing your mind into a whole new space this year.', 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0015', 'extended_role': 'pl'}	combines	PL -> SG	Your learnings of concepts of all kinds	Your learnings of concepts of all kinds combines with extensive group activity, bringing your mind into a whole new space this year.	[]	[]	0	0	0	False	False	False	0.0559213398019292	SV-#	eng	PL	SG	SV	verb	+
The default view – the view in which the object is open when you carry out the Save As command – determines the design of the data access page.	determines				view		{'Number': 'Sing', 'lemma': 'view'}	NOUN	determines				19	[]	{'sent_id': 'en_lines-ud-train-doc1-327', 'text': 'The default view – the view in which the object is open when you carry out the Save As command – determines the design of the data access page.', 'treebank': 'UD_English-LinES/en_lines-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0016', 'extended_role': 'sg'}	determine	SG -> PL	The default view – the view in which the object is open when you carry out the Save As command –	The default view – the view in which the object is open when you carry out the Save As command – determine the design of the data access page.	[]	[]	0	0	0	False	False	False	0.0294338148850847	SV-#	eng	SG	PL	SV	verb	+
The default views – the views in which the object is open when you carry out the Save As command – determine the design of the data access page.	determines				views		{'lemma': 'view', 'Number': 'Plur'}	NOUN	determine				19	[]	{'sent_id': 'en_lines-ud-train-doc1-327', 'text': 'The default view – the view in which the object is open when you carry out the Save As command – determines the design of the data access page.', 'treebank': 'UD_English-LinES/en_lines-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0016', 'extended_role': 'pl'}	determines	PL -> SG	The default views – the views in which the object is open when you carry out the Save As command –	The default views – the views in which the object is open when you carry out the Save As command – determines the design of the data access page.	[]	[]	0	0	0	False	False	False	0.0294338148850847	SV-#	eng	PL	SG	SV	verb	+
If the snake is not pregnant or shedding, and its enclosure is properly equipped, a loss of appetite probably signals a beginning of hibernation.	signals				loss		{'Number': 'Sing', 'lemma': 'loss'}	NOUN	signals				4	[]	{'sent_id': 'answers-20111108105629AAiZUDY_ans-0037', 'text': 'If the snake is not pregnant or shedding, and its enclosure is properly equipped, a loss of appetite probably signals a beginning of hibernation.', 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0017', 'extended_role': 'sg'}	signal	SG -> PL	If the snake is not pregnant or shedding, and its enclosure is properly equipped, a loss of appetite probably	If the snake is not pregnant or shedding, and its enclosure is properly equipped, a loss of appetite probably signal a beginning of hibernation.	[]	[]	0	0	0	False	False	False	0.0135848376392698	SV-#	eng	SG	PL	SV	verb	+
